               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/military_vehicle_mAP,metrics/aircraft_mAP, metrics/soldier_mAP,metrics/civilian_mAP,metrics/ordnance_mAP,metrics/military_vehicle_mAP_50,metrics/aircraft_mAP_50,metrics/soldier_mAP_50,metrics/civilian_mAP_50,metrics/ordnance_mAP_50
                   0,            0.096749,            0.016764,            0.039097,          0.00070718,             0.16989,            0.000879,          0.00022037,             0.10096,           0.0092341,            0.032421,            0.070283,           0.0033019,           0.0033019,          0.00018598,          0.00047514,                   0,          0.00022037,          0.00022037,          0.00075932,           0.0018777,                   0,            0.000879,            0.000879
                   1,            0.075213,            0.011387,            0.026091,           0.0015227,             0.27649,            0.019384,             0.00667,            0.094029,           0.0092478,            0.027386,            0.040217,           0.0065695,           0.0065695,           0.0039271,            0.016083,                   0,             0.00667,             0.00667,           0.0082564,            0.049896,                   0,            0.019384,            0.019384
                   2,            0.074539,            0.010576,            0.025254,           0.0027837,             0.28996,           0.0048761,            0.001427,            0.093731,           0.0093091,             0.02364,            0.010086,           0.0097712,           0.0097712,          0.00094022,            0.002165,           0.0011758,            0.001427,            0.001427,           0.0028789,           0.0066455,           0.0051037,           0.0048761,           0.0048761
                   3,            0.072368,            0.010683,            0.023839,           0.0010604,             0.26083,           0.0082244,           0.0018911,            0.093974,           0.0092287,            0.030913,            0.009703,            0.009703,            0.009703,             0.00067,           0.0050033,                   0,           0.0018911,           0.0018911,           0.0028264,            0.021847,                   0,           0.0082244,           0.0082244
                   4,            0.073428,            0.010362,            0.023816,           0.0019842,              0.3414,            0.026568,           0.0047423,            0.087969,           0.0088995,            0.026389,            0.009703,            0.009703,            0.009703,          0.00026736,            0.013891,          6.8665e-05,           0.0047423,           0.0047423,          0.00087143,            0.078401,          0.00043213,            0.026568,            0.026568
                   5,            0.068977,            0.010662,            0.022939,           0.0012221,             0.33813,            0.015065,           0.0037954,            0.083702,              0.0097,            0.021326,            0.009604,            0.009604,            0.009604,          0.00029387,            0.011092,                   0,           0.0037954,           0.0037954,          0.00097647,            0.044217,                   0,            0.015065,            0.015065
                   6,            0.068388,            0.010557,            0.022345,           0.0015551,             0.31565,            0.079513,            0.023885,            0.086046,           0.0090899,            0.020537,            0.009505,            0.009505,            0.009505,          0.00025841,            0.071397,                   0,            0.023885,            0.023885,          0.00088908,             0.23765,                   0,            0.079513,            0.079513
                   7,            0.067525,            0.010662,            0.019651,           0.0046802,             0.44954,            0.042284,           0.0093639,            0.086203,           0.0092613,            0.018165,            0.009406,            0.009406,            0.009406,           0.0030593,            0.023379,           0.0016538,           0.0093639,           0.0093639,           0.0066008,             0.11198,           0.0082695,            0.042284,            0.042284
                   8,            0.063891,            0.010852,            0.019199,             0.35738,             0.23304,            0.094995,            0.024538,            0.081459,           0.0095967,            0.016298,            0.009307,            0.009307,            0.009307,           0.0011449,            0.067779,            0.004691,            0.024538,            0.024538,            0.003489,             0.26131,            0.020183,            0.094995,            0.094995
                   9,            0.062696,            0.010664,            0.017253,             0.33812,             0.22414,            0.035806,           0.0085733,            0.081256,           0.0098317,            0.014587,            0.009208,            0.009208,            0.009208,          0.00059579,            0.021323,           0.0038014,           0.0085733,           0.0085733,            0.002228,            0.087912,            0.017279,            0.035806,            0.035806
                  10,            0.062814,              0.0106,            0.016291,             0.36077,             0.22572,            0.051858,            0.010803,            0.081548,           0.0088373,            0.014809,            0.009109,            0.009109,            0.009109,           0.0014811,            0.027357,           0.0035714,            0.010803,            0.010803,           0.0058139,             0.13158,            0.018181,            0.051858,            0.051858
                  11,            0.059232,            0.010763,            0.015326,             0.55626,            0.061493,             0.13335,             0.03898,            0.076312,            0.010131,            0.017228,             0.00901,             0.00901,             0.00901,           0.0051846,            0.072534,            0.039223,             0.03898,             0.03898,            0.014059,             0.23768,              0.1483,             0.13335,             0.13335
                  12,            0.059285,            0.010808,            0.014217,             0.76285,              0.1119,             0.13902,            0.041899,            0.071025,           0.0091403,            0.012587,            0.008911,            0.008911,            0.008911,           0.0085576,            0.091213,            0.025928,            0.041899,            0.041899,            0.023295,             0.27578,             0.11798,             0.13902,             0.13902
                  13,            0.058525,            0.010952,            0.013767,             0.78857,             0.20115,             0.12836,            0.046362,            0.076012,           0.0099177,            0.012371,            0.008812,            0.008812,            0.008812,           0.0035477,             0.12781,           0.0077279,            0.046362,            0.046362,           0.0091281,             0.33892,            0.037034,             0.12836,             0.12836
                  14,            0.058132,            0.010665,            0.013124,             0.73387,             0.15517,            0.084058,            0.021799,            0.075762,           0.0089857,            0.012456,            0.008713,            0.008713,            0.008713,           0.0038046,            0.054692,           0.0069014,            0.021799,            0.021799,            0.013067,             0.21032,            0.028786,            0.084058,            0.084058
                  15,            0.058106,            0.010612,            0.012517,             0.55582,             0.19698,             0.18504,            0.064625,             0.07489,           0.0096181,            0.013858,            0.008614,            0.008614,            0.008614,           0.0090251,             0.15792,            0.026928,            0.064625,            0.064625,            0.027591,             0.41279,             0.11474,             0.18504,             0.18504
                  16,            0.057078,            0.010537,             0.01099,             0.74025,             0.18391,             0.10002,            0.030703,            0.077124,           0.0090186,            0.011345,            0.008515,            0.008515,            0.008515,           0.0043489,            0.075992,            0.011768,            0.030703,            0.030703,            0.014639,             0.20523,            0.080205,             0.10002,             0.10002
                  17,            0.055953,            0.010548,            0.010615,             0.82932,             0.16092,             0.19019,            0.049004,            0.070519,           0.0096961,            0.011559,            0.008416,            0.008416,            0.008416,            0.010474,             0.11198,            0.024562,            0.049004,            0.049004,            0.043896,             0.42311,             0.10358,             0.19019,             0.19019
                  18,            0.054186,            0.010787,            0.010017,             0.58687,             0.18182,             0.18011,            0.058782,            0.074069,           0.0091431,            0.010099,            0.008317,            0.008317,            0.008317,            0.010674,             0.15663,           0.0090408,            0.058782,            0.058782,            0.042443,             0.44489,            0.053003,             0.18011,             0.18011
                  19,            0.054601,            0.010394,           0.0091634,              0.7295,             0.15517,            0.086932,            0.028128,            0.072499,            0.009019,            0.013852,            0.008218,            0.008218,            0.008218,            0.016372,            0.060472,           0.0075398,            0.028128,            0.028128,            0.031461,             0.18065,            0.048681,            0.086932,            0.086932
                  20,            0.053883,            0.010428,           0.0088709,             0.80556,             0.18066,             0.16737,            0.059269,            0.070762,           0.0092086,             0.01259,            0.008119,            0.008119,            0.008119,             0.01141,              0.1622,           0.0041986,            0.059269,            0.059269,            0.027408,             0.45615,            0.018552,             0.16737,             0.16737
                  21,            0.051721,            0.010417,           0.0085182,             0.59704,             0.20481,             0.22908,            0.068696,            0.068295,           0.0098005,            0.012088,             0.00802,             0.00802,             0.00802,            0.012948,             0.17867,            0.014473,            0.068696,            0.068696,            0.034495,             0.56961,            0.083117,             0.22908,             0.22908
                  22,            0.051119,            0.010289,           0.0071608,             0.62737,             0.15675,             0.22737,            0.080476,            0.068205,           0.0089118,            0.007892,            0.007921,            0.007921,            0.007921,            0.017812,             0.16608,            0.057536,            0.080476,            0.080476,             0.04262,             0.42823,             0.21125,             0.22737,             0.22737
                  23,            0.051838,             0.01021,           0.0070951,             0.69357,             0.16458,             0.18938,            0.064663,            0.070287,             0.00848,            0.012115,            0.007822,            0.007822,            0.007822,            0.020274,             0.15137,            0.022348,            0.064663,            0.064663,            0.050069,             0.42364,            0.094426,             0.18938,             0.18938
                  24,            0.051698,           0.0099538,           0.0068426,             0.83316,             0.16667,             0.17473,            0.065979,              0.0661,            0.009094,            0.013462,            0.007723,            0.007723,            0.007723,            0.015762,             0.18077,           0.0014052,            0.065979,            0.065979,             0.04959,             0.46788,           0.0067044,             0.17473,             0.17473
                  25,            0.050958,           0.0099141,           0.0062907,             0.53645,             0.18812,             0.17875,            0.060705,                0.07,           0.0086063,            0.010335,            0.007624,            0.007624,            0.007624,            0.025596,             0.14729,           0.0092266,            0.060705,            0.060705,            0.055992,             0.43017,            0.050086,             0.17875,             0.17875
                  26,            0.049755,           0.0099517,           0.0063804,              0.6591,             0.21467,             0.32161,             0.11073,               0.063,           0.0092942,            0.010678,            0.007525,            0.007525,            0.007525,            0.020769,             0.20614,             0.10529,             0.11073,             0.11073,            0.079013,             0.53553,             0.35029,             0.32161,             0.32161
                  27,            0.049725,             0.01002,           0.0053945,             0.56465,             0.26801,             0.29138,            0.094989,            0.066893,            0.008852,           0.0093975,            0.007426,            0.007426,            0.007426,             0.03356,             0.20052,            0.050884,            0.094989,            0.094989,            0.066698,             0.46598,             0.34147,             0.29138,             0.29138
                  28,            0.049319,           0.0095758,           0.0056162,             0.68209,             0.21739,             0.24335,            0.089885,            0.066055,           0.0083196,           0.0096574,            0.007327,            0.007327,            0.007327,            0.028119,             0.23703,           0.0045046,            0.089885,            0.089885,            0.076772,             0.62621,            0.027082,             0.24335,             0.24335
                  29,            0.047202,           0.0097856,           0.0054249,             0.55947,             0.24087,             0.31252,             0.10198,            0.066861,           0.0082827,            0.009116,            0.007228,            0.007228,            0.007228,            0.027242,             0.17485,             0.10384,             0.10198,             0.10198,            0.092617,             0.51766,             0.32728,             0.31252,             0.31252
                  30,            0.049081,           0.0094408,           0.0053599,             0.50808,             0.15574,             0.17121,            0.057573,             0.07031,           0.0084244,            0.011906,            0.007129,            0.007129,            0.007129,            0.032228,             0.12709,            0.013405,            0.057573,            0.057573,            0.090133,             0.33937,            0.084118,             0.17121,             0.17121
                  31,            0.050631,           0.0093891,           0.0049993,             0.58067,             0.24403,             0.41894,             0.14059,            0.065792,           0.0086791,           0.0083839,             0.00703,             0.00703,             0.00703,            0.026369,             0.22335,             0.17205,             0.14059,             0.14059,            0.074994,             0.59686,             0.58495,             0.41894,             0.41894
                  32,            0.046571,           0.0097257,           0.0049901,             0.65068,             0.25136,             0.23972,            0.091766,            0.059139,           0.0082907,           0.0086574,            0.006931,            0.006931,            0.006931,            0.037776,             0.22957,           0.0079558,            0.091766,            0.091766,            0.085402,             0.59848,            0.035281,             0.23972,             0.23972
                  33,             0.04458,           0.0092673,           0.0041819,             0.70083,             0.23879,             0.22509,            0.068568,            0.063891,           0.0081432,           0.0086766,            0.006832,            0.006832,            0.006832,            0.026041,             0.15793,            0.021729,            0.068568,            0.068568,            0.074033,             0.48182,             0.11942,             0.22509,             0.22509
                  34,            0.045402,           0.0092146,           0.0039809,             0.55594,             0.23203,             0.24093,            0.082735,            0.058565,            0.008577,           0.0087987,            0.006733,            0.006733,            0.006733,            0.039948,             0.15477,            0.053488,            0.082735,            0.082735,             0.10155,             0.43152,             0.18973,             0.24093,             0.24093
                  35,            0.045114,           0.0090177,           0.0046803,             0.73205,             0.19123,             0.24935,            0.079475,            0.065138,           0.0079878,           0.0076877,            0.006634,            0.006634,            0.006634,            0.032375,             0.16902,            0.037036,            0.079475,            0.079475,             0.12723,              0.5039,             0.11693,             0.24935,             0.24935
                  36,            0.045096,           0.0089945,            0.003651,             0.55355,             0.26285,             0.29305,             0.13405,            0.061258,           0.0084669,            0.008372,            0.006535,            0.006535,            0.006535,            0.034106,             0.31992,            0.048136,             0.13405,             0.13405,            0.089564,             0.60721,             0.18239,             0.29305,             0.29305
                  37,             0.04469,           0.0087414,           0.0039244,             0.56306,             0.20253,             0.20151,            0.088816,            0.061908,           0.0088423,            0.010936,            0.006436,            0.006436,            0.006436,            0.041021,             0.21106,            0.014372,            0.088816,            0.088816,            0.090787,             0.45158,            0.062173,             0.20151,             0.20151
                  38,            0.042369,           0.0090516,           0.0039152,             0.77678,              0.2158,             0.34818,             0.13012,            0.060962,           0.0080108,           0.0088722,            0.006337,            0.006337,            0.006337,            0.052299,             0.24685,            0.091193,             0.13012,             0.13012,            0.099918,             0.68168,             0.26293,             0.34818,             0.34818
                  39,            0.043389,           0.0087964,           0.0039312,             0.69717,             0.26336,             0.32519,             0.10399,            0.060751,           0.0085233,           0.0062818,            0.006238,            0.006238,            0.006238,            0.049977,             0.20419,            0.057794,             0.10399,             0.10399,             0.13401,             0.56016,              0.2814,             0.32519,             0.32519
                  40,            0.042124,           0.0088857,           0.0036996,             0.69243,             0.24195,              0.4196,             0.16749,            0.053347,           0.0083901,           0.0069011,            0.006139,            0.006139,            0.006139,            0.062004,              0.2754,             0.16507,             0.16749,             0.16749,             0.14528,             0.65796,             0.45556,              0.4196,              0.4196
                  41,            0.041584,           0.0088086,           0.0035278,             0.60045,             0.30438,              0.3489,             0.13493,            0.057355,           0.0082148,           0.0083533,             0.00604,             0.00604,             0.00604,             0.05381,             0.25934,             0.09165,             0.13493,             0.13493,             0.18424,             0.60984,             0.25262,              0.3489,              0.3489
                  42,            0.043546,           0.0085437,           0.0036286,              0.6088,             0.26865,             0.29974,             0.12003,            0.059397,           0.0078436,           0.0092263,            0.005941,            0.005941,            0.005941,             0.05905,              0.2845,             0.01653,             0.12003,             0.12003,             0.14564,             0.64562,             0.10798,             0.29974,             0.29974
                  43,            0.041345,           0.0083821,           0.0035468,             0.48548,             0.36586,             0.42808,             0.17265,            0.057361,           0.0078412,           0.0085152,            0.005842,            0.005842,            0.005842,            0.083704,             0.22437,             0.20988,             0.17265,             0.17265,             0.17215,             0.59094,             0.52114,             0.42808,             0.42808
                  44,            0.040207,           0.0083221,           0.0030104,             0.69957,             0.27162,             0.36792,             0.14506,            0.059678,           0.0078235,           0.0068182,            0.005743,            0.005743,            0.005743,            0.061179,              0.3322,            0.041792,             0.14506,             0.14506,             0.15133,             0.72538,             0.22705,             0.36792,             0.36792
                  45,            0.041188,           0.0083508,           0.0030626,             0.43252,             0.46622,             0.42357,              0.1539,            0.060275,           0.0079925,           0.0069336,            0.005644,            0.005644,            0.005644,            0.071696,             0.22788,             0.16211,              0.1539,              0.1539,             0.19554,             0.60185,             0.47331,             0.42357,             0.42357
                  46,            0.040002,           0.0081122,           0.0032574,             0.64567,             0.33644,              0.3175,             0.13382,             0.05893,           0.0073784,           0.0099802,            0.005545,            0.005545,            0.005545,            0.082285,             0.31587,           0.0032943,             0.13382,             0.13382,             0.22588,             0.70908,             0.01753,              0.3175,              0.3175
                  47,            0.039924,           0.0078915,           0.0030565,             0.46571,             0.40666,             0.45965,             0.18705,            0.056085,            0.007449,           0.0062949,            0.005446,            0.005446,            0.005446,            0.077403,             0.30118,             0.18255,             0.18705,             0.18705,             0.20552,             0.66663,              0.5068,             0.45965,             0.45965
                  48,            0.039481,           0.0082024,           0.0030677,             0.43493,             0.42563,             0.46293,             0.20018,            0.055959,           0.0080889,           0.0062435,            0.005347,            0.005347,            0.005347,            0.082845,             0.33874,             0.17894,             0.20018,             0.20018,             0.21296,             0.77386,             0.40197,             0.46293,             0.46293
