               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/military_vehicle_mAP,metrics/aircraft_mAP, metrics/soldier_mAP,metrics/civilian_mAP,metrics/ordnance_mAP,metrics/military_vehicle_mAP_50,metrics/aircraft_mAP_50,metrics/soldier_mAP_50,metrics/civilian_mAP_50,metrics/ordnance_mAP_50
                  49,            0.038058,           0.0081628,           0.0027954,             0.46697,             0.57354,             0.53427,             0.22142,            0.052331,           0.0077175,           0.0069075,            0.005248,            0.005248,            0.005248,             0.10334,             0.38524,             0.17568,             0.22142,             0.22142,             0.27432,             0.80935,             0.51913,             0.53427,             0.53427
                  50,            0.037388,            0.007801,           0.0024755,             0.71046,             0.29733,              0.4013,             0.16201,            0.059512,           0.0074949,           0.0049264,            0.005149,            0.005149,            0.005149,            0.073683,             0.35487,            0.057483,             0.16201,             0.16201,             0.16867,             0.78913,              0.2461,              0.4013,              0.4013
                  51,            0.039758,           0.0080039,           0.0027761,             0.68056,             0.31622,             0.42037,             0.14708,            0.060195,            0.007572,           0.0061925,             0.00505,             0.00505,             0.00505,            0.081533,             0.26938,            0.090321,             0.14708,             0.14708,             0.21112,             0.72449,             0.32551,             0.42037,             0.42037
                  52,            0.039433,           0.0077759,           0.0025562,             0.34892,             0.52915,             0.43629,              0.1688,            0.059586,           0.0078265,           0.0078627,            0.004951,            0.004951,            0.004951,            0.055725,             0.21949,             0.23119,              0.1688,              0.1688,             0.16115,             0.57811,             0.56962,             0.43629,             0.43629
                  53,             0.03968,           0.0078098,           0.0025835,             0.31493,             0.41736,             0.38808,             0.16785,            0.053973,            0.007423,           0.0062635,            0.004852,            0.004852,            0.004852,             0.13113,             0.33936,            0.033082,             0.16785,             0.16785,             0.32905,             0.68642,             0.14876,             0.38808,             0.38808
                  54,            0.037037,           0.0077831,           0.0025763,             0.69945,             0.30498,             0.40759,             0.16903,            0.055087,           0.0073133,           0.0078796,            0.004753,            0.004753,            0.004753,             0.12355,             0.33576,            0.047768,             0.16903,             0.16903,             0.33504,             0.73957,             0.14816,             0.40759,             0.40759
                  55,            0.036121,           0.0077501,           0.0029209,             0.40647,             0.43871,             0.45287,             0.17989,            0.054089,           0.0078001,           0.0061831,            0.004654,            0.004654,            0.004654,               0.102,             0.32417,             0.11348,             0.17989,             0.17989,             0.30037,             0.71387,             0.34437,             0.45287,             0.45287
                  56,            0.036087,           0.0076355,           0.0022317,             0.46642,             0.57583,             0.48796,             0.18772,            0.053495,           0.0075169,           0.0044668,            0.004555,            0.004555,            0.004555,            0.082073,             0.29496,             0.18612,             0.18772,             0.18772,             0.26179,             0.66858,             0.53351,             0.48796,             0.48796
                  57,            0.036779,           0.0074966,           0.0023071,             0.39177,             0.52628,             0.47691,             0.18795,             0.05206,            0.007668,           0.0052174,            0.004456,            0.004456,            0.004456,             0.10903,             0.33157,             0.12324,             0.18795,             0.18795,             0.26841,             0.71131,             0.45099,             0.47691,             0.47691
                  58,            0.035563,           0.0073149,           0.0021909,              0.4551,             0.53198,             0.52299,              0.2094,            0.050082,           0.0075045,           0.0061914,            0.004357,            0.004357,            0.004357,             0.11396,             0.32644,             0.18779,              0.2094,              0.2094,             0.27745,             0.78134,             0.51018,             0.52299,             0.52299
                  59,            0.035497,           0.0071592,           0.0020683,              0.4058,             0.45296,              0.4568,             0.16836,            0.051815,           0.0077423,           0.0055224,            0.004258,            0.004258,            0.004258,            0.093681,             0.32434,            0.087047,             0.16836,             0.16836,             0.25058,             0.74873,             0.37108,              0.4568,              0.4568
                  60,            0.035759,           0.0071151,           0.0024337,             0.70899,             0.35386,             0.40773,             0.17235,            0.053486,           0.0073961,           0.0073629,            0.004159,            0.004159,            0.004159,              0.1048,             0.36965,            0.042614,             0.17235,             0.17235,             0.33461,             0.76338,             0.12521,             0.40773,             0.40773
                  61,            0.035419,           0.0072485,            0.002106,             0.60285,              0.6068,             0.61267,             0.25325,            0.052387,           0.0078043,           0.0072365,             0.00406,             0.00406,             0.00406,             0.13733,             0.35946,             0.26297,             0.25325,             0.25325,             0.38838,             0.77686,             0.67276,             0.61267,             0.61267
                  62,            0.035054,           0.0072125,           0.0020466,             0.36851,             0.44638,             0.44241,             0.19297,             0.05352,           0.0073791,            0.007763,            0.003961,            0.003961,            0.003961,             0.12701,              0.4016,            0.050293,             0.19297,             0.19297,             0.33829,             0.86006,             0.12887,             0.44241,             0.44241
                  63,            0.035205,            0.007189,           0.0018923,             0.35709,             0.48944,             0.45331,             0.17259,            0.053928,           0.0072891,           0.0075633,            0.003862,            0.003862,            0.003862,             0.12314,             0.34029,            0.054334,             0.17259,             0.17259,             0.31559,             0.78339,             0.26095,             0.45331,             0.45331
                  64,            0.034114,           0.0070172,           0.0022768,             0.71654,             0.36199,             0.41118,             0.17424,            0.055097,           0.0069275,            0.006063,            0.003763,            0.003763,            0.003763,              0.1729,             0.34613,           0.0036725,             0.17424,             0.17424,             0.43389,             0.77327,            0.026378,             0.41118,             0.41118
                  65,            0.034895,           0.0068793,           0.0022843,             0.61488,             0.49759,             0.58316,             0.25093,            0.052717,           0.0077341,           0.0075988,            0.003664,            0.003664,            0.003664,             0.11568,             0.38532,             0.25178,             0.25093,             0.25093,             0.29174,             0.87981,             0.57795,             0.58316,             0.58316
                  66,            0.033798,           0.0068007,           0.0020349,             0.56628,             0.56765,             0.59788,             0.23557,             0.05056,           0.0072697,           0.0078469,            0.003565,            0.003565,            0.003565,             0.14553,             0.38438,             0.17678,             0.23557,             0.23557,              0.4238,             0.86963,              0.5002,             0.59788,             0.59788
                  67,            0.032552,           0.0067066,           0.0018189,             0.67512,             0.61412,             0.65146,             0.27258,            0.051432,           0.0071289,           0.0067322,            0.003466,            0.003466,            0.003466,             0.15911,             0.39701,             0.26161,             0.27258,             0.27258,             0.38993,             0.85967,             0.70478,             0.65146,             0.65146
                  68,            0.033458,           0.0068096,           0.0019059,             0.40269,               0.411,              0.3813,             0.16172,            0.056446,           0.0066984,           0.0072371,            0.003367,            0.003367,            0.003367,             0.12737,             0.33623,            0.021562,             0.16172,             0.16172,              0.3257,             0.71104,             0.10714,              0.3813,              0.3813
                  69,            0.033942,            0.006665,           0.0021336,             0.51728,              0.5559,             0.56411,              0.2285,             0.05273,           0.0073925,           0.0072918,            0.003268,            0.003268,            0.003268,             0.13037,              0.3809,             0.17423,              0.2285,              0.2285,             0.34155,             0.84168,             0.50911,             0.56411,             0.56411
                  70,            0.032281,           0.0068096,           0.0019671,             0.38586,             0.51023,             0.48452,             0.19838,            0.052134,           0.0075231,           0.0069522,            0.003169,            0.003169,            0.003169,             0.14351,             0.40646,            0.045166,             0.19838,             0.19838,             0.36172,             0.88247,             0.20937,             0.48452,             0.48452
                  71,            0.033156,           0.0065873,           0.0017672,             0.47302,             0.37933,             0.39691,             0.17507,            0.055547,           0.0070302,           0.0070307,             0.00307,             0.00307,             0.00307,             0.13436,             0.37779,            0.013076,             0.17507,             0.17507,             0.30496,             0.80168,            0.084097,             0.39691,             0.39691
                  72,            0.034812,           0.0066219,           0.0021012,              0.4967,             0.54742,             0.51423,             0.22132,            0.052601,           0.0074051,           0.0076653,            0.002971,            0.002971,            0.002971,             0.15621,             0.37217,             0.13558,             0.22132,             0.22132,             0.37036,             0.84974,              0.3226,             0.51423,             0.51423
                  73,             0.03288,           0.0065253,           0.0021496,             0.59423,             0.57712,             0.57323,             0.22883,            0.056727,           0.0071209,           0.0059944,            0.002872,            0.002872,            0.002872,             0.12788,             0.38166,             0.17694,             0.22883,             0.22883,             0.29731,             0.83089,              0.5915,             0.57323,             0.57323
                  74,            0.032307,           0.0064436,           0.0019273,             0.66872,             0.50722,             0.58222,             0.25007,            0.052224,           0.0070595,           0.0072721,            0.002773,            0.002773,            0.002773,             0.14215,             0.40464,             0.20341,             0.25007,             0.25007,             0.37265,             0.84064,             0.53338,             0.58222,             0.58222
                  75,            0.031249,           0.0063069,           0.0018193,             0.66305,             0.47885,             0.49878,             0.19137,            0.053533,           0.0071551,            0.007726,            0.002674,            0.002674,            0.002674,             0.15599,             0.38027,            0.037857,             0.19137,             0.19137,              0.3963,             0.86368,             0.23635,             0.49878,             0.49878
                  76,            0.031088,            0.006326,           0.0019999,             0.65066,             0.58846,             0.62878,             0.27793,            0.050558,           0.0076689,           0.0064081,            0.002575,            0.002575,            0.002575,             0.15507,             0.40734,             0.27139,             0.27793,             0.27793,             0.35357,             0.85801,             0.67477,             0.62878,             0.62878
                  77,            0.030591,           0.0063707,            0.001906,             0.54553,             0.53955,             0.50046,             0.22071,            0.049907,           0.0077491,           0.0077677,            0.002476,            0.002476,            0.002476,              0.1481,             0.37608,             0.13794,             0.22071,             0.22071,             0.35406,             0.73031,               0.417,             0.50046,             0.50046
                  78,            0.029582,           0.0064736,           0.0016484,             0.58239,             0.52513,             0.55973,              0.2213,            0.052088,           0.0070426,           0.0081015,            0.002377,            0.002377,            0.002377,             0.14872,             0.37586,             0.13933,              0.2213,              0.2213,             0.38644,             0.82841,             0.46434,             0.55973,             0.55973
                  79,            0.029771,           0.0063998,           0.0014645,             0.46566,             0.57866,             0.49931,             0.20207,            0.051439,           0.0072217,            0.007361,            0.002278,            0.002278,            0.002278,             0.14251,             0.36477,            0.098914,             0.20207,             0.20207,             0.35501,             0.81918,             0.32373,             0.49931,             0.49931
                  80,            0.029606,           0.0062325,           0.0016704,             0.56287,             0.57435,             0.60812,              0.2656,            0.052032,            0.007105,           0.0073725,            0.002179,            0.002179,            0.002179,             0.16963,             0.37576,             0.25141,              0.2656,              0.2656,             0.44426,              0.8431,             0.53702,             0.60812,             0.60812
                  81,            0.029421,           0.0064698,             0.00174,             0.64183,             0.59043,             0.59918,             0.25615,            0.051377,           0.0070691,           0.0072605,             0.00208,             0.00208,             0.00208,             0.16593,             0.36871,              0.2338,             0.25615,             0.25615,             0.43278,             0.80402,             0.56073,             0.59918,             0.59918
                  82,            0.028293,           0.0063057,            0.001603,             0.57933,             0.55529,             0.56404,             0.21156,            0.053726,           0.0072679,           0.0079708,            0.001981,            0.001981,            0.001981,             0.13924,             0.35345,             0.14199,             0.21156,             0.21156,             0.37509,             0.81364,             0.50337,             0.56404,             0.56404
                  83,            0.029006,           0.0062052,           0.0016684,             0.57538,             0.55814,             0.54991,             0.20942,            0.052836,           0.0071085,           0.0076609,            0.001882,            0.001882,            0.001882,             0.16051,             0.37026,            0.097488,             0.20942,             0.20942,             0.39948,             0.78333,             0.46691,             0.54991,             0.54991
                  84,            0.029667,           0.0060841,            0.001563,             0.51352,              0.6443,             0.50981,             0.21366,            0.051478,           0.0071788,           0.0079735,            0.001783,            0.001783,            0.001783,             0.17051,             0.37807,            0.092385,             0.21366,             0.21366,             0.44157,             0.86283,             0.22503,             0.50981,             0.50981
                  85,            0.028922,           0.0060416,           0.0017965,             0.66757,             0.57854,             0.60581,             0.24911,            0.049991,           0.0072587,           0.0072364,            0.001684,            0.001684,            0.001684,             0.18153,             0.36187,             0.20394,             0.24911,             0.24911,             0.43723,             0.79596,             0.58424,             0.60581,             0.60581
                  86,            0.028012,           0.0059987,           0.0015267,             0.71034,             0.59372,             0.64959,             0.28839,            0.048775,           0.0073214,           0.0066867,            0.001585,            0.001585,            0.001585,             0.18236,             0.37341,             0.30941,             0.28839,             0.28839,             0.47631,             0.84479,             0.62766,             0.64959,             0.64959
                  87,            0.027984,            0.005929,           0.0014987,              0.6624,             0.59411,             0.64178,             0.29145,            0.049148,           0.0073415,           0.0059301,            0.001486,            0.001486,            0.001486,              0.1553,             0.37425,             0.34478,             0.29145,             0.29145,                0.41,             0.78786,             0.72747,             0.64178,             0.64178
                  88,            0.027957,           0.0060726,           0.0016582,             0.77164,              0.5988,              0.6492,               0.293,            0.051263,           0.0071696,           0.0068732,            0.001387,            0.001387,            0.001387,             0.17109,             0.36739,             0.34054,               0.293,               0.293,             0.44319,             0.78927,             0.71514,              0.6492,              0.6492
                  89,            0.027971,           0.0059671,           0.0014319,             0.63899,             0.62198,             0.62155,             0.28268,            0.050934,           0.0069884,           0.0058465,            0.001288,            0.001288,            0.001288,             0.16964,             0.38138,               0.297,             0.28268,             0.28268,             0.45163,             0.72651,              0.6865,             0.62155,             0.62155
                  90,            0.027352,           0.0060083,           0.0014738,             0.66082,             0.56578,             0.62219,             0.26991,            0.049919,            0.007042,           0.0068911,            0.001189,            0.001189,            0.001189,             0.18774,             0.37732,             0.24467,             0.26991,             0.26991,             0.47203,             0.80396,             0.59059,             0.62219,             0.62219
                  91,            0.027324,           0.0059505,           0.0015513,             0.64676,             0.64251,             0.64784,             0.28767,            0.048673,           0.0069945,           0.0073673,             0.00109,             0.00109,             0.00109,             0.17477,             0.36133,             0.32691,             0.28767,             0.28767,             0.44163,             0.82165,             0.68023,             0.64784,             0.64784
                  92,            0.026436,           0.0058385,           0.0013377,             0.65414,             0.62848,             0.63172,             0.28088,            0.047882,           0.0072822,           0.0071735,            0.000991,            0.000991,            0.000991,             0.18129,             0.37668,             0.28467,             0.28088,             0.28088,             0.43076,              0.8468,             0.61759,             0.63172,             0.63172
                  93,            0.026586,           0.0058941,           0.0014271,             0.65604,              0.5782,             0.61328,             0.26938,            0.048295,           0.0072126,           0.0074056,            0.000892,            0.000892,            0.000892,             0.16683,             0.35577,             0.28553,             0.26938,             0.26938,             0.41269,             0.77816,             0.64897,             0.61328,             0.61328
                  94,            0.029043,           0.0057971,           0.0013647,             0.64343,             0.61293,             0.63243,              0.2902,            0.045893,           0.0073866,           0.0076128,            0.000793,            0.000793,            0.000793,             0.16262,             0.39788,             0.31008,              0.2902,              0.2902,             0.40734,             0.83593,             0.65403,             0.63243,             0.63243
                  95,            0.028846,           0.0058548,           0.0014492,              0.5645,             0.63035,             0.63941,             0.29712,            0.046174,           0.0071818,           0.0078184,            0.000694,            0.000694,            0.000694,             0.17944,             0.43299,             0.27892,             0.29712,             0.29712,             0.45269,             0.81521,             0.65033,             0.63941,             0.63941
                  96,            0.028245,           0.0058685,           0.0013427,             0.62633,             0.63783,             0.64653,             0.30438,            0.045688,           0.0071683,           0.0073499,            0.000595,            0.000595,            0.000595,             0.18918,             0.42189,             0.30208,             0.30438,             0.30438,             0.46469,             0.83652,             0.63837,             0.64653,             0.64653
                  97,             0.02642,           0.0059199,           0.0014513,             0.70514,             0.60736,             0.65644,             0.30455,              0.0456,           0.0073108,           0.0074636,            0.000496,            0.000496,            0.000496,              0.1647,             0.44085,             0.30811,             0.30455,             0.30455,             0.41798,             0.86096,             0.69038,             0.65644,             0.65644
                  98,            0.025189,           0.0058194,           0.0012719,             0.71371,             0.59857,             0.65651,             0.31459,            0.045475,           0.0072421,           0.0071193,            0.000397,            0.000397,            0.000397,              0.1902,             0.41405,             0.33951,             0.31459,             0.31459,             0.44514,             0.84454,             0.67984,             0.65651,             0.65651
                  99,            0.024666,            0.005813,            0.001207,             0.71025,             0.64706,             0.68118,             0.32039,            0.044266,           0.0071107,            0.007589,            0.000298,            0.000298,            0.000298,             0.19732,             0.41468,             0.34916,             0.32039,             0.32039,             0.45881,              0.8616,             0.72314,             0.68118,             0.68118
